OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance_P,AA_Genus,Phylum_Genus
Otu00002,LC-11m-E1,0.08412236,11,Mixolimnion,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,8.41223598,8776.766203,Actinobacteria|acI-B
Otu00009,LC-9m-E1,0.081176109,9,Mixolimnion,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,8.117610865,5925.855931,Verrucomicrobia|uncultured_ge
Otu00004,Cadagno15m-E2,0.079422939,15,Chemocline,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,7.94229387,71877.75952,Bacteroidetes|Lentimicrobiaceae_ge
Otu00004,LC-19m-E1,0.077615956,19,Monimolimnion,397000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,7.761595602,30813.53454,Bacteroidetes|Lentimicrobiaceae_ge
Otu00004,LC-17m-E1,0.076836626,17,Monimolimnion,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,7.683662605,33398.32013,Bacteroidetes|Lentimicrobiaceae_ge
Otu00008,LC-11m-E1,0.073966173,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,7.396617302,7717.137383,Cyanobacteria|Oxyphotobacteria_unclassified
Otu00009,Cadagno7m-E2,0.073464912,7,Mixolimnion,157333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,7.346491228,11558.47953,Verrucomicrobia|uncultured_ge
Otu00006,Cadagno15m-E2,0.071824623,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,7.182462265,65001.2835,Cyanobacteria|Chloroplast_ge
Otu00017,LC-9m-E1,0.064035512,9,Mixolimnion,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,6.40355118,4674.592361,Verrucomicrobia|Pedosphaeraceae_ge
Otu00045,LC-9m-E1,0.063464159,9,Mixolimnion,73000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,6.346415857,4632.883576,Bacteroidetes|unclassified
