"OTU","Sample","Abundance","depth_m","Water_Layer","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance_P","AA_Genus"
"Otu00042","LC-9m-E1",0.007251790972619,9,"Mixolimnion",73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.7251790972619,529.380741001187
"Otu00008","LC-3m-E1",0.00641916484680034,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.641916484680034,614.10010369863
"Otu00051","Cadagno7m-E2",0.00565789473684211,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.565789473684211,890.175438407895
"Otu00042","Cadagno7m-E2",0.00333333333333333,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.333333333333333,524.444444333333
"Otu00106","LC-3m-E1",0.00327575938058368,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.327575938058368,313.380980753425
"Otu00052","LC-15point5m-E1",0.00229522306699182,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.229522306699182,1342.70549419022
"Otu00008","LC-13m-E1",0.00227804088483904,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.227804088483904,217.173231013728
"Otu00051","LC-13m-E1",0.00227804088483904,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.227804088483904,217.173231013728
"Otu00106","LC-5m-E1",0.00226644946525958,5,"Mixolimnion",86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.226644946525958,196.425620330052
"Otu00208","LC-3m-E1",0.00211766262987228,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.211766262987228,202.589724931507
"Otu00042","Cadagno15m-E2",0.00200225895882534,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.200225895882534,1812.04435773693
"Otu00106","LC-9m-E1",0.00184591042939393,9,"Mixolimnion",73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.184591042939393,134.751461345757
"Otu00208","Cadagno7m-E2",0.00157894736842105,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.157894736842105,248.421052578947
"Otu00006","LC-11m-E1",0.00141620134336813,11,"Mixolimnion",104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.141620134336813,147.757006777535
"Otu00286","LC-19m-E1",0.00122828566415161,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.122828566415161,487.629408668187
"Otu00323","LC-13m-E1",0.00119896888675739,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.119896888675739,114.301700533541
"Otu00208","LC-13m-E1",0.00107907199808165,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.107907199808165,102.871530480187
"Otu00286","LC-17m-E1",0.000946409558736543,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0946409558736543,411.372688229031
"Otu00286","LC-15point5m-E1",0.000573805766747956,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0573805766747956,335.676373547554
"Otu00323","LC-15point5m-E1",0.000573805766747956,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0573805766747956,335.676373547554
"Otu00323","LC-17m-E1",0.000532355376789306,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0532355376789306,231.39713712883
"Otu00323","LC-19m-E1",0.000526408141779259,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0526408141779259,208.984032286366
"Otu00342","LC-19m-E1",0.000526408141779259,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0526408141779259,208.984032286366
"Otu00323","Cadagno15m-E2",0.000513399733032139,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0513399733032139,464.626758394086
"Otu00052","LC-17m-E1",0.000414054181947238,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0414054181947238,179.975551100201
"Otu00342","LC-17m-E1",0.000414054181947238,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0414054181947238,179.975551100201
"Otu00475","LC-17m-E1",0.000414054181947238,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0414054181947238,179.975551100201
"Otu00475","LC-19m-E1",0.000350938761186173,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0350938761186173,139.322688190911
"Otu00286","Cadagno15m-E2",0.000308039839819283,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0308039839819283,278.776055036451
"Otu00042","LC-17m-E1",0.00029575298710517,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.029575298710517,128.553965071572
"Otu00475","LC-15point5m-E1",0.000286902883373978,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0286902883373978,167.838186773777
"Otu00475","Cadagno15m-E2",0.000256699866516069,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0256699866516069,232.313379197043
